place,district_code,level,lat,long
Bengaluru Urban,BNU,district,12.97,77.59
Bengaluru Urban Taluk 1,BNU,taluk,12.897085,77.756063
Bengaluru Urban Taluk 2,BNU,taluk,13.057275,77.626221
Bengaluru Urban Taluk 3,BNU,taluk,12.676615,77.533206
"Market, Bengaluru Urban",BNU,locality,12.953847,77.590103
"Bus Stand, Bengaluru Urban",BNU,locality,12.949765,77.586816
"1st Main, Bengaluru Urban",BNU,locality,12.943992,77.528177
"5th Cross, Bengaluru Urban",BNU,locality,13.002053,77.635884
"Layout, Bengaluru Urban",BNU,locality,12.899246,77.471441
"Circle, Bengaluru Urban",BNU,locality,12.982759,77.635692
"Temple Street, Bengaluru Urban",BNU,locality,12.902064,77.631902
"Railway Station Road, Bengaluru Urban",BNU,locality,12.971061,77.431766
"College Road, Bengaluru Urban",BNU,locality,13.009406,77.609211
"Industrial Area, Bengaluru Urban",BNU,locality,12.979613,77.690603
"Market Yard, Bengaluru Urban",BNU,locality,12.866834,77.507873
"New Extension, Bengaluru Urban",BNU,locality,12.964654,77.543767
Bengaluru Rural,BNR,district,13.22,77.57
Bengaluru Rural Taluk 1,BNR,taluk,13.196759,77.651863
Bengaluru Rural Taluk 2,BNR,taluk,13.27268,77.589215
Bengaluru Rural Taluk 3,BNR,taluk,13.385059,77.41652
"Market, Bengaluru Rural",BNR,locality,13.161986,77.634042
"Bus Stand, Bengaluru Rural",BNR,locality,13.294474,77.52695
"1st Main, Bengaluru Rural",BNR,locality,13.271198,77.584307
"5th Cross, Bengaluru Rural",BNR,locality,13.218707,77.6798
"Layout, Bengaluru Rural",BNR,locality,13.257512,77.524604
"Circle, Bengaluru Rural",BNR,locality,13.157219,77.557333
"Temple Street, Bengaluru Rural",BNR,locality,13.276393,77.689478
"Railway Station Road, Bengaluru Rural",BNR,locality,13.233691,77.551973
"College Road, Bengaluru Rural",BNR,locality,13.184826,77.67922
"Industrial Area, Bengaluru Rural",BNR,locality,13.205886,77.534166
"Market Yard, Bengaluru Rural",BNR,locality,13.279158,77.626057
"New Extension, Bengaluru Rural",BNR,locality,13.249424,77.578999
Mysuru,MYS,district,12.3,76.64
Mysuru Taluk 1,MYS,taluk,12.122008,76.762475
Mysuru Taluk 2,MYS,taluk,12.331255,76.52885
Mysuru Taluk 3,MYS,taluk,12.340359,76.470053
"Market, Mysuru",MYS,locality,12.336679,76.732145
"Bus Stand, Mysuru",MYS,locality,12.331032,76.843569
