area_code,district_name,population,density,literacy,urbanization
BNU,Bengaluru Urban,9621551,4378,87.7,90.9
BNR,Bengaluru Rural,990923,441,77.9,22.0
MYS,Mysuru,3001127,476,72.8,41.4
BEL,Belagavi,4779661,356,73.5,24.0
KLB,Kalaburagi,2566326,233,64.8,31.7
DK,Dakshina Kannada,2089649,457,88.6,47.7
TMK,Tumakuru,2678980,253,75.1,19.9
BAL,Ballari,1400000,300,67.4,36.7
DVG,Davanagere,1945497,329,75.7,32.3
DHW,Dharwad,1847023,434,80.0,56.8
SMG,Shivamogga,1752753,207,80.5,35.3
HSN,Hassan,1776421,261,76.1,21.1
VJP,Vijayapura,2177331,207,67.2,23.0
KLR,Kolar,1536401,384,74.4,32.2
MDY,Mandya,1805769,369,70.4,16.0
RCR,Raichur,1928812,228,59.6,22.6
BID,Bidar,1703300,312,70.5,24.9
CTD,Chitradurga,1659456,197,73.7,19.7
UDP,Udupi,1177361,304,86.2,28.0
HVR,Haveri,1597668,332,77.6,20.0
BGK,Bagalkote,1889752,288,68.8,27.0
KPL,Koppal,1389920,250,67.3,16.9
RMN,Ramanagara,1082636,309,69.2,24.0
CKB,Chikkaballapura,1255104,296,69.8,23.0
CKM,Chikkamagaluru,1137961,158,79.2,21.0
UK,Uttara Kannada,1437169,140,84.1,31.0
GDG,Gadag,1064570,230,75.2,35.7
VJN,Vijayanagara,1353000,250,68.0,30.0
YDG,Yadgir,1174271,224,51.8,21.0
KDG,Kodagu,554519,135,82.6,14.5
CHN,Chamarajanagar,1020791,181,61.4,17.0
