area_code,level,polygon
KA,state,"{""type"": ""Polygon"", ""coordinates"": [[[74.0, 11.42], [78.63, 11.42], [78.63, 18.41], [74.0, 18.41], [74.0, 11.42]]]}"
BNU,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.34, 12.72], [77.84, 12.72], [77.84, 13.22], [77.34, 13.22], [77.34, 12.72]]]}"
BNR,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.32, 12.97], [77.82, 12.97], [77.82, 13.47], [77.32, 13.47], [77.32, 12.97]]]}"
MYS,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.39, 12.05], [76.89, 12.05], [76.89, 12.55], [76.39, 12.55], [76.39, 12.05]]]}"
BEL,district,"{""type"": ""Polygon"", ""coordinates"": [[[74.25, 15.6], [74.75, 15.6], [74.75, 16.1], [74.25, 16.1], [74.25, 15.6]]]}"
KLB,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.58, 17.08], [77.08, 17.08], [77.08, 17.58], [76.58, 17.58], [76.58, 17.08]]]}"
DK,district,"{""type"": ""Polygon"", ""coordinates"": [[[74.79, 12.62], [75.29, 12.62], [75.29, 13.12], [74.79, 13.12], [74.79, 12.62]]]}"
TMK,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.85, 13.09], [77.35, 13.09], [77.35, 13.59], [76.85, 13.59], [76.85, 13.09]]]}"
BAL,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.67, 14.89], [77.17, 14.89], [77.17, 15.39], [76.67, 15.39], [76.67, 14.89]]]}"
DVG,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.67, 14.22], [76.17, 14.22], [76.17, 14.72], [75.67, 14.72], [75.67, 14.22]]]}"
DHW,district,"{""type"": ""Polygon"", ""coordinates"": [[[74.76, 15.21], [75.26, 15.21], [75.26, 15.71], [74.76, 15.71], [74.76, 15.21]]]}"
SMG,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.32, 13.68], [75.82, 13.68], [75.82, 14.18], [75.32, 14.18], [75.32, 13.68]]]}"
HSN,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.85, 12.76], [76.35, 12.76], [76.35, 13.26], [75.85, 13.26], [75.85, 12.76]]]}"
VJP,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.46, 16.58], [75.96, 16.58], [75.96, 17.08], [75.46, 17.08], [75.46, 16.58]]]}"
KLR,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.88, 12.89], [78.38, 12.89], [78.38, 13.39], [77.88, 13.39], [77.88, 12.89]]]}"
MDY,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.65, 12.27], [77.15, 12.27], [77.15, 12.77], [76.65, 12.77], [76.65, 12.27]]]}"
RCR,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.11, 15.95], [77.61, 15.95], [77.61, 16.45], [77.11, 16.45], [77.11, 15.95]]]}"
BID,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.27, 17.66], [77.77, 17.66], [77.77, 18.16], [77.27, 18.16], [77.27, 17.66]]]}"
CTD,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.15, 13.98], [76.65, 13.98], [76.65, 14.48], [76.15, 14.48], [76.15, 13.98]]]}"
UDP,district,"{""type"": ""Polygon"", ""coordinates"": [[[74.5, 13.09], [75.0, 13.09], [75.0, 13.59], [74.5, 13.59], [74.5, 13.09]]]}"
HVR,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.15, 14.55], [75.65, 14.55], [75.65, 15.05], [75.15, 15.05], [75.15, 14.55]]]}"
BGK,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.45, 15.93], [75.95, 15.93], [75.95, 16.43], [75.45, 16.43], [75.45, 15.93]]]}"
KPL,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.9, 15.1], [76.4, 15.1], [76.4, 15.6], [75.9, 15.6], [75.9, 15.1]]]}"
RMN,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.03, 12.47], [77.53, 12.47], [77.53, 12.97], [77.03, 12.97], [77.03, 12.47]]]}"
CKB,district,"{""type"": ""Polygon"", ""coordinates"": [[[77.48, 13.18], [77.98, 13.18], [77.98, 13.68], [77.48, 13.68], [77.48, 13.18]]]}"
CKM,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.52, 13.07], [76.02, 13.07], [76.02, 13.57], [75.52, 13.57], [75.52, 13.07]]]}"
UK,district,"{""type"": ""Polygon"", ""coordinates"": [[[74.44, 14.54], [74.94, 14.54], [74.94, 15.04], [74.44, 15.04], [74.44, 14.54]]]}"
GDG,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.38, 15.18], [75.88, 15.18], [75.88, 15.68], [75.38, 15.68], [75.38, 15.18]]]}"
VJN,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.14, 15.02], [76.64, 15.02], [76.64, 15.52], [76.14, 15.52], [76.14, 15.02]]]}"
YDG,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.89, 16.52], [77.39, 16.52], [77.39, 17.02], [76.89, 17.02], [76.89, 16.52]]]}"
KDG,district,"{""type"": ""Polygon"", ""coordinates"": [[[75.49, 12.17], [75.99, 12.17], [75.99, 12.67], [75.49, 12.67], [75.49, 12.17]]]}"
CHN,district,"{""type"": ""Polygon"", ""coordinates"": [[[76.69, 11.67], [77.19, 11.67], [77.19, 12.17], [76.69, 12.17], [76.69, 11.67]]]}"
